INSTNM,ADDR,CITY,STABBR,ZIP,CHFNM,CHFTITLE,GENTELE,WEBADDR,APPLURL,LONGITUD,LATITUDE
Trinity International University-Florida,8190 West State Road 84,Davie,FL,33324,Neil Nyberg,University President,9543826400,www.florida.tiu.edu,www.florida.tiu.edu/apply,-80.257156,26.099656
Miami Lakes Educational Center,5780 NW 158th St,Miami Lakes,FL,33014,James V. Parker,Principal,3.05557E+13,mlec.dadeschools.net, ,-80.29513,25.916128
Miami Dade College,300 NE 2nd Avenue,Miami,FL,33132-2204,Eduardo J Padron,College President,3052378888,www.mdc.edu/main/,https://sisvsr.mdc.edu/admission2/default.aspx,-80.190856,25.777717
University of Miami,University of Miami,Coral Gables,FL,33146,Dr. Donna E. Shalala,President,3052842211,www.miami.edu/,www.miami.edu/admission/index.php/undergraduate_admission/apply/,-80.27645,25.720406
Mid Florida Tech,2900 West Oak Ridge Road,Orlando,FL,32809,Adelina M. Brann,Sr. Director,40725160470,www.ocpstechcenters.net/MidFloridaTech,campusportal.ocps.net,-81.415996,28.471695
Beauty Schools of America-Miami,1176 SW 67th Avenue,Miami,FL,33144-4700,John W. Rebstock,President/CEO,3052676604,www.bsa.edu/,www.bsa.edu/signup/,-80.303842,25.760695
Remington College-Tampa Campus,"6302 E. Dr. Martin Luther King Jr. Blvd, Ste 400",Tampa,FL,33619,Kenneth Heinemann,Campus President,8139355700,www.remingtoncollege.edu/tampa-technical-school-overview, ,-82.385976,27.983466
Everest Institute-North Miami,"111 NW 183rd St, Ste 200",Miami,FL,33169-4538,Peter Bastiony,College President,3059499500,www.everest.edu/campus/miami, ,-80.203534,25.942952
Everest Institute-Hialeah,530 W. 49th Street,Hialeah,FL,33012, , , , , ,-80.29367,25.865228
Academy of Healing Arts Massage & Facial Skin Care,3141 S Military Tr,Lake Worth,FL,33463-2113,Angela Artemik,Co-Owner,5619655550,www.ahamassage.com,www.ahamassage.com/,-80.113108,26.631072
Lincoln College of Technology-West Palm Beach,2410 Metrocentre Blvd,West Palm Beach,FL,33407,Helen Carver,Campus President,5618428324,www.lincolntech.com,www.lincolnedu.com/campus/west-palm-beach-culinary-fl,-80.094805,26.758227
Fortis College-Tampa,3910 US Hwy 301 N Suite 200,Tampa,FL,33619,Mark Gutmann,Campus President,8136201446,fortis.edu,www.fortis.edu/schedule.php,-82.361859,27.980159
Paul Mitchell the School-Jacksonville,"4624 Town Crossing Drive, Suite 155",Jacksonville,FL,32246,Melissa Jenkins,Director,9047132700,jacksonville.paulmitchell.edu, ,-81.527303,30.258922
North Florida Community College,325 NW Turner Davis Dr,Madison,FL,32340,John Grosskopf,President,8509732288,www.nfcc.edu,www.nfcc.edu/media/158272/application%20for%20admission%202012.pdf,-83.421873,30.473871
University of North Florida,1 UNF Drive,Jacksonville,FL,32224-7699,John A. Delaney,President,9046201000,www.unf.edu,www.unf.edu/admissions/applynow/,-81.507853,30.270917
Northwood University-Florida,2600 N Military Trail,West Palm Beach,FL,33409-2911,Keith A. Pretty,President,5614785500,www.northwood.edu,https://admissions.northwood.edu/,-80.104138,26.714688
Nova Southeastern University,3301 College Ave,Fort Lauderdale,FL,33314-7796,"George L. Hanbury, II",President/CEO,9542627300,www.nova.edu,www.nova.edu/admissions/apply/index.html,-80.24248,26.079337
Northwest Florida State College,100 College Blvd,Niceville,FL,32578-1295,Dr. Ty Handy,President,8506785111,www.nwfsc.edu/,https://raidernet.nwfsc.edu/FCCSC/student/appselection.jsp,-86.475467,30.537148
Orange Park International School of Beauty,2170 Park Ave,Orange Park,FL,32073,Charles Weatherly,President CEO,9042645201,opischoolofbeauty.com, ,-81.701878,30.16326
Everest University-North Orlando,5421 Diplomat Circle,Orlando,FL,32810,Terrance Harris,President,4.07629E+12,www.everest.edu/campus/north_orlando, ,-81.387438,28.610884
Orlando Tech,301 W Amelia Street,Orlando,FL,32801-1197,Alex Heideberg,Senior Director,4072467060,www.orlandotech.ocps.net, ,-81.383783,28.550422
Palm Beach Atlantic University,901 S. Flagler Drive,West Palm Beach,FL,33401,William Fleming,President,5618032000,www.pba.edu,www.pba.edu/apply-online,-80.049758,26.704629
Palm Beach State College,4200 Congress Ave,Lake Worth,FL,33461-4796,Dennis P. Gallon,President,5619677222,www.palmbeachstate.edu/,www.palmbeachstate.edu/x3604.xml,-80.087104,26.613214
Pasco-Hernando Community College,10230 Ridge Road,New Port Richey,FL,34654-5199,"Katherine M. Johnson, Ed.D",President,7278472727,www.phcc.edu,phcc.edu/applying/apply-online,-82.646727,28.2751
